isInSuperMarioMaker1,isInSuperMarioMaker2,english,americanEnglish,europeanEnglish,french,canadianFrench,europeanFrench,german,spanish,americanSpanish,europeanSpanish,italian,dutch,portuguese,americanPortuguese,europeanPortuguese,russian,japanese,chinese,traditionalChinese,simplifiedChinese,korean
TRUE,TRUE,Super Mario Bros.,,,Super Mario Bros.,,,Super Mario Bros.,Super Mario Bros.,,,Super Mario Bros.,Super Mario Bros.,Super Mario Bros.,,,Super Mario Bros.,スーパーマリオブラザーズ,,超級瑪利歐兄弟,超级马力欧兄弟,슈퍼 마리오브라더스
TRUE,TRUE,Super Mario Bros. 3,,,Super Mario Bros. 3,,,Super Mario Bros. 3,Super Mario Bros. 3,,,Super Mario Bros. 3,Super Mario Bros. 3,Super Mario Bros. 3,,,Super Mario Bros. 3,スーパーマリオブラザーズ3,,超級瑪利歐兄弟3,超级马力欧兄弟3,슈퍼 마리오브라더스 3
TRUE,TRUE,Super Mario World,,,Super Mario World,,,Super Mario World,Super Mario World,,,Super Mario World,Super Mario World,Super Mario World,,,Super Mario World,スーパーマリオワールド,,超級瑪利歐世界,超级马力欧世界,슈퍼 마리오 월드
TRUE,TRUE,New Super Mario Bros. U,,,New Super Mario Bros. U,,,New Super Mario Bros. U,New Super Mario Bros. U,,,New Super Mario Bros. U,New Super Mario Bros. U,New Super Mario Bros. U,,,New Super Mario Bros. U,New スーパーマリオブラザーズ U,,New 超級瑪利歐兄弟U,New 超级马力欧兄弟 U,슈퍼 마리오브라더스 U
FALSE,TRUE,Super Mario 3D World,,,Super Mario 3D World,,,Super Mario 3D World,Super Mario 3D World,,,Super Mario 3D World,Super Mario 3D World,Super Mario 3D World,,,Super Mario 3D World,スーパーマリオ 3Dワールド,,超級瑪利歐3D世界,超级马力欧 3D世界,슈퍼 마리오 3D월드
